EPS, React, Inter1, TS1, Inter2, TS2, Inter3, TS3, Inter4, TS4, Prod
0, 0.0, -3.9, 15.9, 13.9, 19.4, -13.1, -3.6, -20.6, -5.9, -17.0
4, 0.0, -5.4, 11.5, 11.6, 17.6, -16.9, -7.6, -21.6, -7.5, -18.4
