Model0,R,TS,P
EPS0, 0.0,23.0,+17.5
EPS2, 0.0,17.8,+8.2
EPS4, 0.0,15.0,+3.4
EPS8, 0.0,13.5,+1.0
EPS16,0.0,12.8,-0.3
EPS80,0.0,12.2,-1.2
