Multiplicity, EPS, A-React, C-React, TS1, Int, TS2, Prod
Singlet, 4, 0.0, 10.9, 26.1, 13.9, 38.7, 7.5
Triplet, 4, 18.8, 25.2, 42.3, 26.7, 46.8, 10.5
