Model0,R,TS,P
EPS0, 0.0,23.0,+17.5
EPS2, 0.0,17.8,+8.2
EPS4, 0.0,15.0,+3.4
EPS8, 0.0,13.5,+1.0
EPS16,0.0,12.8,-0.3
EPS80,0.0,12.2,-1.2

Model1,R,TS,P
EPS0, 0.0,17.9,+14.1
EPS2, 0.0,15.8,+8.3
EPS4, 0.0,14.6,+5.2
EPS8, 0.0,14.0,+3.6
EPS16,0.0,13.7,+2.8
EPS80,0.0,13.5,+2.2

Model2,R,TS,P
EPS0, 0.0,18.2,+5.5
EPS2, 0.0,17.7,+4.9
EPS4, 0.0,17.4,+4.5
EPS8, 0.0,17.1,+4.3
EPS16,0.0,17.0,+4.2
EPS80,0.0,17.0,+4.2
