Model2,R,TS,P
EPS0, 0.0,18.2,+5.5
EPS2, 0.0,17.7,+4.9
EPS4, 0.0,17.4,+4.5
EPS8, 0.0,17.1,+4.3
EPS16,0.0,17.0,+4.2
EPS80,0.0,17.0,+4.2
