EPS, Attack, React, TS1, Int1, TS2, Int2, TS3, Prod
4, C1, 0.0, 3.3, -17.1, 2.2, -0.4, 4.4, -17.3
4, C2, 0.6, 6.7, -19.4, -2.5, -5.2, 2.0, -17.7 
