EPS, Attack, React, TS1, Int1, TS2, Int2, TS3, Prod
4, C1, 0.0, 9.6, -14.2, 6.7, 5.4, 10.7, -15.9
4, C2, 0.0, 4.7, -14.4, -0.3, -2.7, 4.2, -16.6 
