EPS, Attack, React, TS1, Int1, TS2, Int2, TS3, Prod
4, C1, 0.1, 7.1, -13.6, 8.1, 7.1, 11.6, -16.2 
4, C2, 0.1, 4.4, -15.9, -1.7, -3.7, 5.7, -18.1
