EPS, Attack, React, TS1, Int1, TS2, Int2, TS3, Prod
4, C1, 2.3, 6.3, -15.3, 2.4, 0.3, 7.1, -13.3 
4, C2, 2.3, 7.2, -17.9, 1.1, -1.7, 7.6, -12.5 
