EPS,R,TS1,INT1a,INT1b,TS2,INT2,TS3,INT3,TS4,P
0,0,12.1,11.3,15.4,15.5,14.2,13.4,14.1,13.5,2.4
4,0,14.6,13.4,17.5,18.2,15,14.4,14.4,13.7,4.6
