EPS, React, TS1, Int1,Int2a,Int2b, TS2a, TS2b, Proda, Prodb
1,0,20.9,1.5,1.5,1.5,5.4,21.1,-5.6,1.9
4,0,17.3,0.1,0.1,0.1,8.2,19,-3.8,0.8
